Tx2TXT Description,,,,,,Developer Description,,,,Suspicious Point,,,,,,,address
"The function calculates a value using a timestamp, and then if the value
is equal to a user input value, the function transfers the balance of the
contract to user.",,,,,,"To play, call the play() method with the guessed number (1-20).
 If you’re smart enough, you’ll win in every round. 
To witness scam, call the scam() method with the
 guessed number (1-20). 
Your money will disappear every round. 
To load the honey pot, call deposit, or initialize the contract with
the desired amount. Bet price: 0.1 ether",,,,Use timestamp for comparison,,,,,,,0x612f1bdbe93523b7f5036efa87493b76341726e3
"The function transfers a user input amount from a user input address to another
user input address.",,,,,,A contract attempts to get the coins,,,,transfer leak,,,,,,,
The function destroys the contract without any permission control.,,,,,,Simple function to kill the contract.,,,,abuse `kill`/`selfdesctruct`,,,,,,,simple_suicide
The function destroys the contract without any permission control.,,,,,,"if ether is sent to this address, send it back.",,,,abuse `kill`/`selfdesctruct`,,,,,,,0xb60e133dacf00b6f560909dc0a5311ae7f9a659b
The function destroys the contract without any permission control.,,,,,,target the player was trying to roll under,,,,abuse `kill`/`selfdesctruct`,,,,,,,0x0d0edbcf2c0da25ac9a79c9466989e46a8f96221_1
The function destroys the contract without any permission control.,,,,,,target the player was trying to roll under,,,,abuse `kill`/`selfdesctruct`,,,,,,,0x0d0edbcf2c0da25ac9a79c9466989e46a8f96221_2
The function destroys the contract without any permission control.,,,,,,TransferToken,,,,abuse `kill`/`selfdesctruct`,,,,,,,0x2120887e9e4889653770b228ee8d13231d0ef045_1
The function destroys the contract without any permission control.,,,,,,TransferToken,,,,abuse `kill`/`selfdesctruct`,,,,,,,0x2120887e9e4889653770b228ee8d13231d0ef045_2
The function destroys the contract without any permission control.,,,,,,TransferToken,,,,abuse `kill`/`selfdesctruct`,,,,,,,0x2120887e9e4889653770b228ee8d13231d0ef045_3
The function destroys the contract without any permission control.,,,,,,this can be called when there is no furter requirement of contract ,,,,abuse `kill`/`selfdesctruct`,,,,,,,0x0208a56ea43c3ff6c2611071948794c2674a16b9_1
The function destroys the contract without any permission control.,,,,,,this can be called when there is no furter requirement of contract ,,,,abuse `kill`/`selfdesctruct`,,,,,,,0x0208a56ea43c3ff6c2611071948794c2674a16b9_2
The function destroys the contract without any permission control.,,,,,,this can be called when there is no furter requirement of contract ,,,,abuse `kill`/`selfdesctruct`,,,,,,,0x0208a56ea43c3ff6c2611071948794c2674a16b9_3
The function destroys the contract without any permission control.,,,,,,Hot token for transfer,,,,abuse `kill`/`selfdesctruct`,,,,,,,0xa78a974b487357ad5c17a072dfee4d31b839b331_1
The function destroys the contract without any permission control.,,,,,,Hot token for transfer,,,,abuse `kill`/`selfdesctruct`,,,,,,,0xa78a974b487357ad5c17a072dfee4d31b839b331_2
The function destroys the contract without any permission control.,,,,,,"Contract may be destroyed only when there are no ongoing bets,
either settled or refunded. All funds are transferred to contract owner.",,,,abuse `kill`/`selfdesctruct`,,,,,,,0xfbfa60a21b423cb364de616a37464b61c1bc4c88_1
The function destroys the contract without any permission control.,,,,,,"Contract may be destroyed only when there are no ongoing bets,
either settled or refunded. All funds are transferred to contract owner.",,,,abuse `kill`/`selfdesctruct`,,,,,,,0xfbfa60a21b423cb364de616a37464b61c1bc4c88_2
The function destroys the contract without any permission control.,,,,,,"Contract may be destroyed only when there are no ongoing bets,
either settled or refunded. All funds are transferred to contract owner.",,,,abuse `kill`/`selfdesctruct`,,,,,,,0xfbfa60a21b423cb364de616a37464b61c1bc4c88_3
